大陆超清,#genre#
CCTV1,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV2,http://39.135.138.59:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV3,http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV4,http://39.135.138.59:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV5,http://39.135.138.59:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV5+,http://39.135.138.59:18890/PLTV/88888910/224/3221225706/index.m3u8
CCTV6,http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8
CCTV7,http://39.135.138.59:18890/PLTV/88888910/224/3221225644/index.m3u8
CCTV8,http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8
CCTV9,http://39.135.138.59:18890/PLTV/88888910/224/3221225646/index.m3u8
CCTV10,http://39.135.138.59:18890/PLTV/88888910/224/3221225636/index.m3u8
CCTV11,http://39.135.138.59:18890/PLTV/88888910/224/3221225628/index.m3u8
CCTV12,http://39.135.138.59:18890/PLTV/88888910/224/3221225637/index.m3u8
CCTV13,http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV14,http://39.135.138.59:18890/PLTV/88888910/224/3221225639/index.m3u8
CCTV15,http://39.135.138.59:18890/PLTV/88888910/224/3221225641/index.m3u8
CCTV17,http://39.135.138.59:18890/PLTV/88888910/224/3221225908/index.m3u8
纯享4K,http://39.135.138.59:18890/PLTV/88888910/224/3221225786/index.m3u8
东南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225657/index.m3u8
东方卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225659/index.m3u8
江苏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225702/index.m3u8
江西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225705/index.m3u8
河北卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225732/index.m3u8
浙江卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225703/index.m3u8
深圳卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225700/index.m3u8
湖北卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225699/index.m3u8
湖南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225704/index.m3u8
北京卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225674/index.m3u8
北京纪实,http://39.135.138.59:18890/PLTV/88888910/224/3221225676/index.m3u8
上海纪实,http://39.135.138.59:18890/PLTV/88888910/224/3221225655/index.m3u8
四川卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225733/index.m3u8
天津卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225698/index.m3u8
安徽卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225691/index.m3u8
山东卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225697/index.m3u8
山西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225730/index.m3u8
广东卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225701/index.m3u8
广西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225731/index.m3u8
重庆卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225692/index.m3u8
吉林卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225680/index.m3u8
云南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225664/index.m3u8
陕西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225729/index.m3u8
内蒙古卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225667/index.m3u
u8
青海卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225727/index.m3u8
黑龙江卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225690/index.m3u
u8
宁夏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225726/index.m3u8
甘肃卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225724/index.m3u8
西藏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225723/index.m3u8
新疆卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225725/index.m3u8
旅游卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225722/index.m3u8
贵州卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225728/index.m3u8
辽宁卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225696/index.m3u8
联通专区,#genre# 
CCTV1,http://121.31.30.91:8081/ysten-business/live/cctv-
1/1.m3u8 CCTV2,http://121.31.30.91:8081/ysten-business/live/cctv-2/1.m3u8
CCTV3,http://121.31.30.91:8081/ysten-business/live/cctv-3/1.m3u8
CCTV4,http://121.31.30.91:8081/ysten-business/live/cctv-4/1.m3u8
CCTV6,http://121.31.30.91:8081/ysten-business/live/cctv-5/1.m3u8
CCTV6,http://121.31.30.91:8081/ysten-business/live/cctv-6/1.m3u8
CCTV7,http://121.31.30.91:8081/ysten-business/live/cctv-7/1.m3u8
CCTV8,http://121.31.30.91:8081/ysten-business/live/cctv-8/1.m3u8
CCTV9,http://121.31.30.91:8081/ysten-business/live/cctv-news/1.m3u8
CCTV10,http://121.31.30.91:8081/ysten-business/live/cctv-10/1.m3u8
CCTV11,http://121.31.30.91:8081/ysten-business/live/cctv-11/1.m3u8
CCTV12,http://121.31.30.91:8081/ysten-business/live/cctv-12/1.m3u8
CCTV13,http://121.31.30.91:8081/ysten-business/live/cctv-13/1.m3u8
CCTVNews,http://121.31.30.91:8081/ysten-business/live/cctv-9/1.m3u8
CCTV14,http://121.31.30.91:8081/ysten-business/live/cctv-14/1.m3u8
CCTV15,http://121.31.30.91:8081/ysten-business/live/cctv-15/1.m3u8
CCTV15,http://121.31.30.91:8081/ysten-business/live/cctv-17/1.m3u8
湖南卫视,http://121.31.30.91:8081/ysten-business/live/hdhunanstv/1.m3u8
浙江卫视,http://121.31.30.91:8081/ysten-business/live/hdzhejiangstv/1.m3u8
北京卫视,http://121.31.30.91:8081/ysten-business/live/hdbeijingstv/1.m3u8
阳光卫视,http://121.31.30.91:8081/ysten-business/live/yangguangstv/1.m3u8
天津卫视,http://121.31.30.91:8081/ysten-business/live/hdtianjinstv/1.m3u8
湖北卫视,http://121.31.30.91:8081/ysten-business/live/hdhubeistv/1.m3u8
广东卫视,http://121.31.30.91:8081/ysten-business/live/hdguangdongstv/1.m3u8
黑龙江卫视,http://121.31.30.91:8081/ysten-
business/live/hdheilongjiangstv/1.m3u8
东方卫视,http://121.31.30.91:8081/ysten-business/live/dongfangstv/1.m3u8
贵州卫视,http://121.31.30.91:8081/ysten-business/live/guizhoustv/1.m3u8
东南卫视,http://121.31.30.91:8081/ysten-business/live/dongnanstv/1.m3u8
广西卫视,http://121.31.30.91:8081/ysten-business/live/guangxistv/1.m3u8
山东卫视,http://121.31.30.91:8081/ysten-business/live/hdshandongstv/1.m3u8
江西卫视,http://121.31.30.91:8081/ysten-business/live/jiangxistv/1.m3u8
江苏卫视,http://121.31.30.91:8081/ysten-business/live/jiangsustv/1.m3u8
宁夏卫视,http://121.31.30.91:8081/ysten-business/live/ningxiastv/1.m3u8
重庆卫视,http://121.31.30.91:8081/ysten-business/live/chongqingstv/1.m3u8
山西卫视,http://121.31.30.91:8081/ysten-business/live/shanxistv/1.m3u8
河南卫视,http://121.31.30.91:8081/ysten-business/live/henanstv/1.m3u8
深圳卫视,http://121.31.30.91:8081/ysten-business/live/shenzhenstv/1.m3u8
安徽卫视,http://121.31.30.91:8081/ysten-business/live/anhuistv/1.m3u8
甘肃卫视,http://121.31.30.91:8081/ysten-business/live/gansustv/1.m3u8
辽宁卫视,http://121.31.30.91:8081/ysten-business/live/liaoningstv/1.m3u8
