大陆高清,#genre#
CCTV-1,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8#http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv1/HD-8000k-1080P-cctv1#http://39.134.24.24/PLTV/88888888/224/3221225684/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225829/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225652/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221226024/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV-2,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8#http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv2/HD-8000k-1080P-cctv2#http://39.134.24.24/PLTV/88888888/224/3221225686/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV-3,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8#http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv3/HD-8000k-1080P-cctv3#http://39.134.24.24/PLTV/88888888/224/3221226023/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225630/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV-4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8#http://183.207.248.71:80/cntv/live1/cctv-4/cctv-4#http://39.134.24.24/PLTV/88888888/224/3221225662/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV-5,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8#http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv5/HD-8000k-1080P-cctv5#http://39.134.24.24/PLTV/88888888/224/3221226025/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225758/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8#http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv05plus/HD-8000k-1080P-cctv05plus#http://39.134.24.24/PLTV/88888888/224/3221225718/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225706/index.m3u8
CCTV-6,http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8#http://183.207.248.71:80/cntv/live1/cctv-6/cctv-6#http://39.134.24.24/PLTV/88888888/224/3221226027/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225708/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8
CCTV-7,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8#http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv7/HD-8000k-1080P-cctv7#http://39.134.24.24/PLTV/88888888/224/3221225855/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225768/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225644/index.m3u8
CCTV-8,http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8#http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv8/HD-8000k-1080P-cctv8#http://39.134.24.24/PLTV/88888888/224/3221226029/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225666/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8
CCTV-9,http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8#http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv9/HD-8000k-1080P-cctv9#http://39.134.24.24/PLTV/88888888/224/3221225672/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225646/index.m3u8
CCTV-10,http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8#http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv10/HD-8000k-1080P-cctv10#http://39.134.24.24/PLTV/88888888/224/3221225823/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225782/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225636/index.m3u8
CCTV-11,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8#http://183.207.248.71:80/cntv/live1/n-cctv-11/n-cctv-11#http://39.134.24.24/PLTV/88888888/224/3221225825/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225774/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225628/index.m3u8
CCTV-12,http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8#http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv12/HD-8000k-1080P-cctv12#http://39.134.24.24/PLTV/88888888/224/3221225702/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225637/index.m3u8
CCTV-13,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8#http://183.207.248.71:80/cntv/live1/cctv-13/cctv-13#http://39.134.24.24/PLTV/88888888/224/3221225827/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225612/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225650/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV-14,http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8#http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv14/HD-8000k-1080P-cctv14#http://39.134.24.24/PLTV/88888888/224/3221225857/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225658/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225639/index.m3u8
CCTV-15,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8#http://183.207.248.71:80/cntv/live1/n-cctv-15/n-cctv-15#http://39.134.24.24/PLTV/88888888/224/3221225636/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225641/index.m3u8
CCTV-16,http://ott.js.chinamobile.com/TVOD/3/224/3221228112/index.m3u8#http://ott.js.chinamobile.com/TVOD/3/224/3221228144/index.m3u8#http://ott.js.chinamobile.com/TVOD/3/224/3221228127/index.m3u8
CCTV-17,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8#http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv17/HD-8000k-1080P-cctv17#http://39.134.24.24/PLTV/88888888/224/3221225859/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225908/index.m3u8
北京冬奥纪实HD,http://39.130.202.81:6610/gitv_live/G_BEIJINGJS-HD/G_BEIJINGJS-HD.m3u8
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225745/index.m3u8
浙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225744/index.m3u8
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8
东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8#http://ott.js.chinamobile.com/TVOD/3/224/3221228150/index.m3u8
山东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8
辽宁卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8
黑龙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225736/index.m3u8
广东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225742/index.m3u8
安徽卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225737/index.m3u8
深圳卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8
天津卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225739/index.m3u8
重庆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225734/index.m3u8
东南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8#http://ott.js.chinamobile.com/TVOD/3/224/3221227553/index.m3u8
广西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225731/index.m3u8
河北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225732/index.m3u8#http://ott.js.chinamobile.com/TVOD/3/224/3221228106/index.m3u8
